agent,seed_index,seed,state_id,state,action_id,action,q_value
Epsilon-greedy Q-learning,14,137,4,yellow,0,red,-0.015728429999999998
Epsilon-greedy Q-learning,14,137,4,yellow,1,green,0.07381709379633394
Epsilon-greedy Q-learning,14,137,4,yellow,2,blue,0.6311761025288092
Epsilon-greedy Q-learning,14,137,5,magenta,0,red,0.6106370942786753
Epsilon-greedy Q-learning,14,137,5,magenta,1,green,0.7799999999999999
Epsilon-greedy Q-learning,14,137,5,magenta,2,blue,0.4218166746752815
Epsilon-greedy Q-learning,14,137,6,cyan,0,red,0.13502302360419244
Epsilon-greedy Q-learning,14,137,6,cyan,1,green,0.0
Epsilon-greedy Q-learning,14,137,6,cyan,2,blue,0.30438876842615015
Epsilon-greedy Q-learning,14,137,7,white,0,red,0.0
Epsilon-greedy Q-learning,14,137,7,white,1,green,0.0
Epsilon-greedy Q-learning,14,137,7,white,2,blue,0.0
Epsilon-greedy Q-learning,15,138,0,black,0,red,0.8454499999999996
Epsilon-greedy Q-learning,15,138,0,black,1,green,0.2635723358421245
Epsilon-greedy Q-learning,15,138,0,black,2,blue,0.3536967509067354
Epsilon-greedy Q-learning,15,138,1,red,0,red,0.780791289295825
Epsilon-greedy Q-learning,15,138,1,red,1,green,0.9109999999999997
Epsilon-greedy Q-learning,15,138,1,red,2,blue,0.3982344343341998
Epsilon-greedy Q-learning,15,138,2,green,0,red,-0.0102
Epsilon-greedy Q-learning,15,138,2,green,1,green,-0.006
Epsilon-greedy Q-learning,15,138,2,green,2,blue,0.3279388473413459
Epsilon-greedy Q-learning,15,138,3,blue,0,red,0.4353901239587645
Epsilon-greedy Q-learning,15,138,3,blue,1,green,0.13517809082775795
Epsilon-greedy Q-learning,15,138,3,blue,2,blue,0.09613466379425475
Epsilon-greedy Q-learning,15,138,4,yellow,0,red,0.7181853394117496
Epsilon-greedy Q-learning,15,138,4,yellow,1,green,0.5926560059069996
Epsilon-greedy Q-learning,15,138,4,yellow,2,blue,0.9799999999999999
Epsilon-greedy Q-learning,15,138,5,magenta,0,red,0.06394889533343617
Epsilon-greedy Q-learning,15,138,5,magenta,1,green,0.3873864573749611
Epsilon-greedy Q-learning,15,138,5,magenta,2,blue,0.08970435723711079
Epsilon-greedy Q-learning,15,138,6,cyan,0,red,0.3779482206080825
Epsilon-greedy Q-learning,15,138,6,cyan,1,green,0.022869275061076513
Epsilon-greedy Q-learning,15,138,6,cyan,2,blue,0.023160232150851216
Epsilon-greedy Q-learning,15,138,7,white,0,red,0.0
Epsilon-greedy Q-learning,15,138,7,white,1,green,0.0
Epsilon-greedy Q-learning,15,138,7,white,2,blue,0.0
Epsilon-greedy Q-learning,16,139,0,black,0,red,0.29116449596587446
